stock_id,res,ct,year,,,,,,
Sardinops sagax,medium,9.00,2006,,,,,,
Sardinops sagax,medium,4.00,2005,,,,,,
Sardinops sagax,medium,543.00,2004,,,,,,
Sardinops sagax,medium,632.00,2003,,,,,,
Sardinops sagax,medium,1924.00,2002,,,,,,
Sardinops sagax,medium,42097.00,2001,,,,,,
Sardinops sagax,medium,51440.00,2000,,,,,,
Sardinops sagax,medium,8821.00,1999,,,,,,
Sardinops sagax,medium,1012.00,1998,,,,,,
Sardinops sagax,medium,56096.00,1997,,,,,,
Sardinops sagax,medium,356477.00,1996,,,,,,
Sardinops sagax,medium,34609.00,1995,,,,,,
Sardinops sagax,medium,212.00,1994,,,,,,
Sardinops sagax,medium,0.00,1993,,,,,,
Sardinops sagax,medium,212.00,1992,,,,,,
Sardinops sagax,medium,3377.00,1991,,,,,,
Sardinops sagax,medium,16895.00,1990,,,,,,
Sardinops sagax,medium,260872.00,1989,,,,,,
Sardinops sagax,medium,382337.00,1988,,,,,,
Sardinops sagax,medium,210097.00,1987,,,,,,
Sardinops sagax,medium,590258.00,1986,,,,,,
Sardinops sagax,medium,1215587.00,1985,,,,,,
Sardinops sagax,medium,648784.00,1984,,,,,,
Sardinops sagax,medium,104163.00,1983,,,,,,
Sardinops sagax,medium,314102.00,1982,,,,,,
Sardinops sagax,medium,255102.00,1981,,,,,,
Sardinops sagax2,medium,0.00,2014,,,,,,
Sardinops sagax2,medium,0.00,2013,,,,,,
Sardinops sagax2,medium,0.00,2012,,,,,,
Sardinops sagax2,medium,0.00,2011,,,,,,
Sardinops sagax2,medium,0.00,2010,,,,,,
Sardinops sagax2,medium,0.00,2009,,,,,,
Sardinops sagax2,medium,0.00,2008,,,,,,
Sardinops sagax2,medium,0.00,2007,,,,,,
Sardinops sagax2,medium,9.00,2006,,,,,,
Sardinops sagax2,medium,4.00,2005,,,,,,
Sardinops sagax2,medium,543.00,2004,,,,,,
Sardinops sagax2,medium,632.00,2003,,,,,,
Sardinops sagax2,medium,1924.00,2002,,,,,,
Sardinops sagax2,medium,42097.00,2001,,,,,,
Sardinops sagax2,medium,51440.00,2000,,,,,,
Sardinops sagax2,medium,8821.00,1999,,,,,,
Sardinops sagax2,medium,1012.00,1998,,,,,,
Sardinops sagax2,medium,56096.00,1997,,,,,,
Sardinops sagax2,medium,356477.00,1996,,,,,,
Sardinops sagax2,medium,34609.00,1995,,,,,,
Sardinops sagax2,medium,212.00,1994,,,,,,
Sardinops sagax2,medium,0.00,1993,,,,,,
Sardinops sagax2,medium,212.00,1992,,,,,,
Sardinops sagax2,medium,3377.00,1991,,,,,,
Sardinops sagax2,medium,16895.00,1990,,,,,,
Sardinops sagax2,medium,260872.00,1989,,,,,,
Sardinops sagax2,medium,382337.00,1988,,,,,,
Sardinops sagax2,medium,210097.00,1987,,,,,,
Sardinops sagax2,medium,590258.00,1986,,,,,,
Sardinops sagax2,medium,1215587.00,1985,,,,,,
Sardinops sagax2,medium,648784.00,1984,,,,,,
Sardinops sagax2,medium,104163.00,1983,,,,,,
Sardinops sagax2,medium,314102.00,1982,,,,,,
Sardinops sagax2,medium,255102.00,1981,,,,,,
Etrumeus teres,medium,2650.00,2013,,,,,,
Etrumeus teres,medium,1653.00,2012,,,,,,
Etrumeus teres,medium,1760.00,2011,,,,,,
Etrumeus teres,medium,1902.70,2010,,,,,,
Etrumeus teres,medium,1154.00,2009,,,,,,
Etrumeus teres,medium,2632.42,2008,,,,,,
Etrumeus teres,medium,520.00,2007,,,,,,
Etrumeus teres,medium,432.00,2006,,,,,,
Etrumeus teres,medium,4629.00,2005,,,,,,
Etrumeus teres,medium,4901.00,2004,,,,,,
Etrumeus teres,medium,1068.00,2003,,,,,,
Etrumeus teres,medium,613.00,2002,,,,,,
Etrumeus teres,medium,28.00,2001,,,,,,
Etrumeus teres,medium,4415.00,2000,,,,,,
Etrumeus teres,medium,3636.00,1999,,,,,,
Etrumeus teres,medium,8873.00,1998,,,,,,
Etrumeus teres,medium,1095.00,1997,,,,,,
Etrumeus teres,medium,34349.00,1996,,,,,,
Etrumeus teres,medium,46253.00,1995,,,,,,
Etrumeus teres,medium,30748.00,1994,,,,,,
Etrumeus teres,medium,57663.00,1993,,,,,,
Etrumeus teres,medium,9688.00,1992,,,,,,
Etrumeus teres,medium,17180.00,1991,,,,,,
Etrumeus teres,medium,5471.00,1990,,,,,,
Etrumeus teres,medium,838.00,1989,,,,,,
Etrumeus teres,medium,9215.00,1988,,,,,,
Etrumeus teres,medium,14373.00,1987,,,,,,
Etrumeus teres,medium,29209.00,1986,,,,,,
Etrumeus teres,medium,40739.00,1985,,,,,,
Etrumeus teres,medium,52025.00,1984,,,,,,
Etrumeus teres,medium,79339.00,1983,,,,,,
Etrumeus teres,medium,25547.00,1982,,,,,,
Etrumeus teres,medium,266177.00,1981,,,,,,
Cetengraulis mysticetus,high,6535.00,2013,,,,,,
Cetengraulis mysticetus,high,2758.00,2012,,,,,,
Cetengraulis mysticetus,high,13012.00,2011,,,,,,
Cetengraulis mysticetus,high,741.29,2010,,,,,,
Cetengraulis mysticetus,high,7586.00,2009,,,,,,
Cetengraulis mysticetus,high,26928.03,2008,,,,,,
Cetengraulis mysticetus,high,1079.00,2007,,,,,,
